Time / s,Intensity / nA
0,0.02675
0.141,0.0263
0.281,0.0262
0.406,0.02595
0.547,0.02605
0.687,0.02635
0.828,0.026
0.953,0.02545
1.094,0.02535
1.297,0.02565
1.812,0.02625
2.297,0.0261
2.812,0.0256
5.219,575.15
5.359,575.15
5.5,575
5.641,574.8
5.797,574.7
5.937,574.55
6.297,574.4
6.812,574.3
7.297,574.2
7.812,574.15
8.297,574.1
8.812,574
9.297,573.9
9.812,573.85
10.297,573.8
10.812,573.75
11.297,573.7
11.812,573.65
12.297,573.6
12.812,573.55
13.297,573.5
13.812,573.45
14.297,572.2
14.812,572.3
15.297,571.05
15.812,575.05
16.297,573.55
16.812,573.1
17.297,571.8
17.812,511.75
18.297,513.7
18.812,514.25
19.297,515.3
19.812,515.95
20.297,515.05
20.812,560.3
21.297,560.75
21.812,560.8
22.297,560.6
22.812,571.8
23.297,563.4
23.812,550.85
24.297,557.95
24.812,566.3
25.297,579.95
25.812,556.5
26.297,552.25
26.812,551.7
27.297,552.45
27.812,546.2
28.297,538.65
28.812,532.45
29.297,528.4
29.812,516.4
30.297,507.55
30.812,552.9
31.297,566
31.812,557.25
32.297,533.85
32.812,529.8
33.297,533.2
33.812,536.55
34.297,541.7
34.812,548.55
35.297,547.85
35.812,553.6
36.297,554.1
36.812,553.1
37.297,558.15
37.812,560.2
38.297,561
38.812,562.35
39.297,563.8
39.812,565.6
40.297,566.65
40.812,567.6
41.297,568.45
41.812,568.35
42.297,568.55
42.812,568.4
43.297,567.25
43.812,565.55
44.297,563.75
44.812,560.8
45.297,559.4
45.812,559.7
46.297,560.1
46.812,565.05
47.297,568.5
47.812,570.8
48.297,571
48.812,571.85
49.297,571.7
49.812,571.55
50.297,571.5
50.812,571.5
51.297,571.45
51.812,571.7
52.297,571.95
52.812,572.15
53.297,572.2
53.812,572.2
54.297,572.25
54.812,572.25
55.297,572
55.812,571.75
56.297,571.9
56.812,571.75
57.297,571.55
57.812,570.8
58.297,571.9
58.812,567.5
59.297,568.5
59.812,571.25
60.297,572.05
60.812,574.65
61.297,574.65
61.812,574.25
62.297,574.25
62.812,569.75
63.297,560.2
63.812,560.5
64.297,569.3
64.812,571.7
