time,velocity,uncertainty
0.53,42.1151,5.9702
0.7375,26.251,11.2599
0.7471,28.5606,12.2702
1.3009,-29.4,2.4385
1.6507,-39.6756,2.3569
2.0222,-46.3068,2.1932
2.0884,-44.0561,7.2971
4.6809,97.5295,7.3074
5.2406,93.2077,0.7922
5.2934,79.4436,7.0238
6.6667,-12.5451,2.4723
7.0752,-39.9144,6.0236
8.0489,-45.2267,1.4477
8.4262,-27.9096,1.5675
9.1076,28.7136,7.4359
9.2551,42.1576,9.8517
10.0881,88.5444,5.0958
10.4617,99.2174,5.1528
10.4951,105.1658,15.6302
11.0387,85.3806,6.9127
11.5383,52.5674,5.5089
11.6291,55.2256,11.2188
12.5197,-15.3423,5.4209
13.3792,-47.2146,5.1301
13.5285,-42.033,3.0185
13.5492,-41.7051,6.0356
13.582,-44.6493,2.5587
13.618,-41.0861,4.4157
13.9327,-32.9402,0.3567
14.1779,-11.1148,10.5306
14.6323,18.1998,3.7729
15.2336,64.1438,4.6823
15.7056,82.0283,1.6453
16.2821,92.2366,3.686
16.3687,99.8446,12.4202
16.4506,94.0201,7.9264
17.0239,56.524,1.6038
17.3981,34.4065,2.9586
17.7657,5.0147,3.2873
18.083,-21.8366,2.3447
18.7289,-45.2676,3.7371
19.667,-15.2221,11.1969
21.2582,85.0674,1.9192
21.4759,88.8433,0.6281
21.5205,89.8742,0.7094
21.712,88.8821,2.1057
22.0105,100.6732,16.7689
22.5761,69.9455,11.6958
23.0415,29.1305,8.5432
23.5034,-1.1701,10.0667
23.6627,-22.5828,1.7985
24.4145,-49.3047,2.6239
24.5033,-39.8001,11.2417
24.8616,-38.787,4.7939
25.3888,-13.9679,3.2529
25.7524,19.9094,11.4347
25.8821,16.6886,1.631
26.8822,93.4951,10.4631
27.1742,98.4732,6.9168
29.0567,-1.7477,1.5457
30.023,-48.442,4.6393
30.0887,-44.1421,7.3647
30.5456,-43.2354,2.6774
31.2886,17.5552,9.0758
31.669,31.6124,1.275
32.1385,76.0261,6.7927
32.2337,66.3645,1.6125
33.0065,90.7343,2.3188
33.0474,95.4062,5.2784
33.578,70.2923,2.4468
33.6063,71.8715,2.1011
34.4987,14.8957,10.8297
35.1769,-24.8393,8.7214
36.0591,-42.7705,1.7734
36.0736,-41.7976,7.3668
36.5312,-26.7087,0.1723
36.9477,22.5193,13.897
36.9714,13.3997,1.2648
37.5215,63.9872,13.8337
38.0077,87.7147,10.1378
38.4692,94.6042,5.261
38.5881,83.7313,4.8698
38.7436,90.6667,0.557
39.4246,63.0124,3.377
39.9035,23.6707,3.247
40.1577,-1.3047,3.1446
40.169,-6.6769,4.5088
40.7168,-19.3861,15.2961
41.0153,-41.6477,5.8428
41.5823,-42.3496,5.2139
42.1281,-26.2946,1.7725
42.1566,-12.5852,7.6372
44.0453,95.4778,0.9169
46.2423,-31.2449,1.8342
47.1057,-45.6102,4.9111
47.1675,-37.345,12.688
47.4,-30.2834,12.9202
47.6915,-24.494,2.5367
48.7195,59.6642,5.3329
49.7423,99.4649,6.8898
